,price,beds,baths,sqft,address,city,attribution
57,"$8,495,000",5,6,"6,783",1527 Rising Glen Rd,Los Angeles CA 90069,Courtesy Of Rodeo Realty
58,"$7,995,000",5,5,"6,550",2103 Linda Flora DR,Los Angeles CA 90077,Courtesy Of The Agency
59,"$5,399,000",5,5,"5,100",147 S Almont Dr,Los Angeles CA 90048,Courtesy Of KELLER WILLIAMS BEVERLY HILLS REALTY
60,"$4,195,000",5,5,"5,017",365 N Vista Street,Los Angeles CA 90036,Courtesy Of Rodeo Realty
61,"$3,575,000",4,3,"3,596",10860 Via Verona St,Los Angeles CA 90077,Courtesy Of Compass
62,"$3,395,000",4,4,"3,405",1600 N Kings Rd,Los Angeles CA 90069,Courtesy Of The Agency
63,"$3,250,000",2,2,"2,520",732 Huntley DR 1A,West Hollywood CA 90069,Courtesy Of KELLER WILLIAMS BEVERLY HILLS REALTY
64,,,,,,,
65,"$600,000",4,2,"1,266",1032 W 125th Street,Los Angeles CA 90044,"Courtesy Of eXp Realty of California, Inc."
66,"$599,000",1,2,"1,258",1130 S Flower St 306,Los Angeles CA 90015,Courtesy Of eXp Realty
67,"$435,000",3,1,976,419 W 101st Street,Los Angeles CA 90003,Courtesy Of Pinnacle Estate Properties Inc.
68,"$299,900",,,,10440 Corfu Lane,Bel Air CA 90077,Courtesy Of Rodeo Realty
69,"$299,900",,,,10442 Corfu Lane,Bel Air CA 90077,Courtesy Of Rodeo Realty
70,"$699,000",3,2,"1,144",5855 4th Ave,Los Angeles CA 90043,Listed By CENTURY 21 Allstars
71,"$7,300,000",3,4,"4,300",900 W Olympic Boulevard #44G,Los Angeles CA 90015,Courtesy Of Coldwell Banker Pacific Palisades
72,"$4,995,000",4,4,"4,838",201 S Plymouth Boulevard,Los Angeles CA 90004,Courtesy Of Coldwell Banker Hancock Park
73,"$1,998,000",3,2,"2,384",5846 Lantern Court,Playa Vista CA 90094,Courtesy Of Coldwell Banker Santa Monica Montana
74,"$670,000",3,2,"1,411",752 Portola Terrace,Los Angeles CA 90042,Courtesy Of Coldwell Banker Los Feliz
75,"$6,995,000",4,5,"5,300",8428 Carlton Way,Los Angeles CA 90069,Courtesy Of Westside Estate Agency
76,"$5,995,000",5,5,,7820 Electra Dr,Los Angeles CA 90046,Courtesy Of The Agency
77,"$3,998,000",4,5,"4,096",618 N Harper Ave,Los Angeles CA 90048,Courtesy Of Douglas Elliman Real Estate
78,"$3,499,999",5,4,"4,432",10269 Cheviot Drive,Los Angeles CA 90064,Courtesy Of Dalton Real Estate
79,"$2,700,000",,,,1128 W 39Th St,Los Angeles CA 90037,Courtesy Of Rodeo Realty
80,"$2,599,000",5,4,"4,102",1823 Virginia Rd,Los Angeles CA 90019,Courtesy Of sotheby's international realty
81,"$1,860,000",3,3,"2,184",5837 Lantern Court,Playa Vista CA 90094,Courtesy Of Vista Sotheby's International Realty
82,"$1,695,000",2,3,"1,793",10727 Wilshire Blvd 706,Los Angeles CA 90024,Courtesy Of Rodeo Realty
83,"$1,599,000",3,3,"1,919",7255 Caverna Dr,Los Angeles CA 90068,Courtesy Of Keller Williams Realty Hollywood Hills
84,"$1,499,000",3,3,"2,149",6343 W 82nd Street,Westchester CA 90045,Courtesy Of First Team Real Estate
85,,,,,,,
86,"$1,400,000",2,2,"1,552",865 Comstock Ave 6F,Los Angeles CA 90024,Courtesy Of Keller Williams Santa Monica
87,"$1,275,000",,,,1 durand DR,Los Angeles CA 90068,Courtesy Of The Agency
88,"$1,098,888",3,4,"1,866",115 N Manhattan Place,Los Angeles CA 90004,Courtesy Of RE/MAX Premier Properties
89,"$1,075,000",2,2,"1,595",3718 Revere Ave,Los Angeles CA 90039,Courtesy Of Compass
90,"$1,075,000",3,4,"1,898",2930 Rowena Ave 1,Los Angeles CA 90039,Courtesy Of Compass
91,"$999,000",3,2,"1,408",2411 Alsace Avenue,Los Angeles CA 90016,Courtesy Of Keller WIlliams Westlake Village
92,"$938,000",,,,1707 S Harvard Blvd,Los Angeles CA 90006,Courtesy Of eXp Realty
93,"$899,000",3,2,"1,596",3715 San Marino St 404,Los Angeles CA 90019,Courtesy Of PLG Estates
94,"$829,000",1,2,843,889 Francisco #2601,Los Angeles CA 90017,Courtesy Of The Agency
95,"$827,000",2,2,"1,220",801 S Grand Ave 1908,Los Angeles CA 90017,Courtesy Of Keller Williams Larchmont
96,"$799,000",,,,8675 Appian Way,Los Angeles CA 90046,Courtesy Of Compass
97,"$799,000",3,2,"1,126",6033 Annan Way,Eagle Rock CA 90042,Courtesy Of HOMEQUEST REAL ESTATE CORP
98,"$790,000",3,1,"2,907",2106 5th Avenue,Los Angeles CA 90018,Courtesy Of Re/Max Vision
99,"$750,000",,,,1013 E 28Th St,Los Angeles CA 90011,Courtesy Of Keller Williams Realty Westside
100,"$750,000",3,1,"1,593",2958 S Victoria Avenue,Los Angeles CA 90016,"Courtesy Of TRG Realestate Group, Inc."
101,"$699,000",1,2,"1,000",1650 Veteran Ave 106,Los Angeles CA 90024,Courtesy Of KELLER WILLIAMS BEVERLY HILLS REALTY
102,"$659,000",2,2,981,2345 Roscomare Rd 302,Los Angeles CA 90077,Courtesy Of Compass
103,"$525,000",2,1,"1,020",8650 Belford Ave 200A,Los Angeles CA 90045,Courtesy Of Keller Williams Santa Monica
104,"$2,688,800",10,,,1330 Arapahoe St,Los Angeles CA 90006,Listed By CENTURY 21 Realty Masters
105,"$1,450,000",3,2,"2,054",118 S. Clark Drive #105,West Hollywood CA 90048,Listed By CENTURY 21 Peak
106,,,,,,,
107,"$1,189,000",,,,2410 Gatewood St,Los Angeles CA 90031,Courtesy Of Nourmand & Associates Realtors
108,"$1,189,000",4,4,"2,355",2412 Gatewood ST,Los Angeles CA 90031,Courtesy Of Nourmand & Associates Realtors
109,"$1,079,000",3,2,"1,305",4301 Mont Eagle Place,Eagle Rock CA 90041,Courtesy Of Team Bjorkman
110,"$1,050,000",3,3,"1,781",421 S Wilton Pl,Los Angeles CA 90020,Courtesy Of Compass
111,"$900,000",2,1,720,2417 Riverside Place,Silver Lake CA 90039,Courtesy Of Einstein Realty
112,"$899,999",3,2,"1,482",3910 Moore Street 201,Los Angeles CA 90066,Courtesy Of Re/Max Luxury Properties
113,"$864,500",2,2,"1,378",11077 Palms Boulevard 302,Los Angeles CA 90034,Courtesy Of Surterre Properties
114,"$864,500",2,2,"1,378",11077 Palms Boulevard 302,Los Angeles CA 90034,"Courtesy Of Surterre Properties, Inc."
115,"$779,000",1,2,843,889 S Francisco St 2401,Los Angeles CA 90017,Courtesy Of Keller Williams Larchmont
116,"$674,000",1,1,780,907 N Madison Ave,Los Angeles CA 90029,Courtesy Of sotheby's international realty
117,"$649,000",,1,630,1850 Industrial Street 308,Los Angeles CA 90021,Courtesy Of Compass
118,"$649,000",2,2,"1,154",6922 Knowlton Place 204,Los Angeles CA 90045,Courtesy Of US National Realty
119,"$619,000",1,1,643,11920 Goshen Ave 203,Los Angeles CA 90049,"Courtesy Of AGL Brentwood, inc."
120,"$595,000",4,1,"1,225",9853 Mercedes Avenue,Arleta CA 91331,Courtesy Of HomeBased Realty
121,"$580,000",4,2,"1,225",9853 Mercedes Avenue,Arleta CA 91331,Courtesy Of HomeBased Realty
122,"$539,000",1,1,"1,079",5870 Green Valley Circle 229,Culver City CA 90230,Courtesy Of Keller Williams Beach Cities
123,"$519,000",1,1,707,11750 W Sunset Boulevard 321,Los Angeles CA 90049,Courtesy Of Keller Williams Beach Cities
124,"$445,000",1,1,728,1435 N Fairfax Ave 5,West Hollywood CA 90046,Courtesy Of Compass
125,"$339,999",,1,473,1154 S Barrington Avenue A,Brentwood CA 90049,Courtesy Of Masters Realty
126,"$4,495,000",6,5,"4,488",15263 Mulholland Drive,Los Angeles CA 90077,Courtesy Of Coldwell Banker Beverly Hills
127,,,,,,,
128,"$3,950,000",3,3,"2,432",1000 N Bundy Dr,Los Angeles CA 90049,Courtesy Of Nourmand & Associates Realtors
129,"$3,595,000",5,6,"4,436",315 S Mansfield Ave,Los Angeles CA 90036,Courtesy Of The Agency
130,"$2,545,000",4,4,"3,300",6562 Firebrand St,Los Angeles CA 90045,Courtesy Of Real Estate eBroker Inc.
131,"$1,999,000",2,2,"2,621",10551 Wilshire Blvd 1105,Los Angeles CA 90024,Courtesy Of Nourmand & Associates Realtors
132,"$1,995,000",4,4,"2,391",245 N Plymouth Blvd,Los Angeles CA 90004,Courtesy Of The Agency
133,"$1,675,000",2,2,"2,621",10551 Wilshire Blvd 1101,Los Angeles CA 90024,Courtesy Of Nourmand & Associates Realtors
134,"$1,149,000",3,3,"1,910",2753 Waverly Drive 801,Silver Lake CA 90039,Courtesy Of Keller Williams Rancho Cucamonga
135,"$1,149,000",3,3,"1,910",2753 Waverly Drive 801,Silver Lake CA 90039,Courtesy Of Keller Willams RCHO
136,"$849,000",,,,2010 S Union Ave,Los Angeles CA 90007,Courtesy Of Keller Williams Realty Hollywood Hills
137,"$845,000",2,2,"1,100",11949 Goshen Ave 102,Los Angeles CA 90049,Courtesy Of Redfin Corporation
138,"$819,000",2,2,846,817 Chestnut Avenue,Los Angeles CA 90042,Courtesy Of Keller Williams Palos Verdes Realty
139,"$699,000",,,,520 W 91st St,Los Angeles CA 90044,"Courtesy Of Westchester Playa Realty Alliance, Inc."
140,"$699,000",3,2,"1,042",2503 Obama Blvd,Los Angeles CA 90018,Courtesy Of Keller Williams Realty Hollywood Hills
141,"$5,950,000",3,4,,1289 Sunset Plaza Drive,Los Angeles CA 90069,Courtesy Of Coldwell Banker Beverly Hills
142,"$900,000",3,2,"1,180",7501 Shirley Avenue,Reseda CA 91335,Courtesy Of Coldwell Banker Westlake Village Regional
143,"$449,000",1,1,650,746 S Los Angeles Street #908,Los Angeles CA 90014,Courtesy Of Coldwell Banker Hancock Park
144,"$4,200,000",7,8,"6,000",15539 Aqua Verde Dr,Los Angeles CA 90077,Courtesy Of Keller Williams Realty Studio City
145,"$2,195,000",4,3,"2,310",648 N Crescent Heights Blvd,Los Angeles CA 90048,Courtesy Of Compass
146,"$2,175,000",2,3,"2,412",11500 San Vicente Blvd 216,Los Angeles CA 90049,Courtesy Of Compass
147,"$1,799,000",3,3,"2,654",2261 Vasanta Way,Los Angeles CA 90068,Courtesy Of Compass
148,,,,,,,
149,"$1,025,000",3,3,"1,726",1710 Granville Avenue 6,Los Angeles CA 90025,Courtesy Of Harcourts Prime Properties
150,"$950,000",1,1,"1,105",12111 Washington Place,Los Angeles CA 90066,"Courtesy Of CH Market Center, Inc."
151,"$650,000",3,2,"1,536",3666 5th Avenue,Los Angeles CA 90018,Courtesy Of Cal American Homes
152,"$574,999",4,2,"1,813",3738 Dozier Street,Los Angeles CA 90063,Courtesy Of Excellence RE Real Estate
153,"$1,085,000",3,3,"1,839",5351 Fountain Avenue,Los Angeles CA 90029,Courtesy Of Real Estate eBroker Inc.
154,"$1,105,500",2,2,"1,340",1100 Wilshire 3704,Los Angeles CA 90017,Courtesy Of Compass
155,"$548,800",,1,480,141 S Clark Dr 315,West Hollywood CA 90048,Courtesy Of CORE Real Estate Group
156,"$1,048,000",,,,1770 W 22nd Street 1772,Los Angeles CA 90007,Listed By CENTURY 21 Plaza
157,"$4,725,000",5,6,"5,785",11721 Chenault St,Los Angeles CA 90049,Courtesy Of Revel Real Estate
158,"$1,425,000",,,,3421 Descanso Drive,Los Angeles CA 90026,Courtesy Of Realty ONE Group Synergy
159,"$1,425,000",,,,3421 Descanso Drive,Los Angeles CA 90026,Courtesy Of APB Real Estate
160,"$589,000",1,1,730,939 S Broadway 809,Los Angeles CA 90015,Courtesy Of The Agency
161,"$1,300,000",4,2,"2,302",970 3rd Ave,Los Angeles CA 90019,Courtesy Of Compass
162,"$988,800",3,3,"2,045",4865 Mount Royal Drive,Eagle Rock CA 90041,Courtesy Of Mulhearn Realtors Inc.
163,"$629,000",,,,1144 W 85th Street,Los Angeles CA 90044,Courtesy Of RE/MAX Estate Properties
164,"$169,000",,,,4466 Kewanee Street,El Sereno CA 90032,"Courtesy Of SHM Quantum Leap, Inc."
165,"$169,000",,,,4458 Kewanee Street,El Sereno CA 90032,"Courtesy Of SHM Quantum Leap, Inc."
166,"$580,000",,,,324 W 65th Street,Los Angeles CA 90003,"Courtesy Of eXp Realty of California, Inc."
167,"$2,850,000",,,,757 Cole Avenue,Los Angeles CA 90038,Courtesy Of Mulhearn Realtors Inc.
168,"$1,799,000",,,,1449 N Bronson Ave,Los Angeles CA 90028,Courtesy Of Compass
169,,,,,,,
170,"$125,000",,,,2981 Passmore Dr,Los Angeles CA 90068,Courtesy Of KELLER WILLIAMS BEVERLY HILLS REALTY
171,"$379,900",3,1,"1,128",8018  Lou Dillion Ave,Los Angeles CA 90001,Listed By CENTURY 21 Masters
